# Residuals   
# Time        	p             	Ux            	Uy            
0             	N/A	N/A
215           	1.770735e-03	1.805444e-04	8.224505e-05
216           	1.748710e-03	1.777969e-04	8.056719e-05
217           	1.744385e-03	1.750230e-04	7.889640e-05
218           	1.723055e-03	1.724061e-04	7.726536e-05
219           	1.716573e-03	1.698175e-04	7.567848e-05
220           	1.695827e-03	1.673672e-04	7.413044e-05
221           	1.689576e-03	1.648927e-04	7.262807e-05
222           	1.670303e-03	1.625527e-04	7.116687e-05
223           	1.661889e-03	1.602482e-04	6.973510e-05
224           	1.643971e-03	1.580571e-04	6.834024e-05
225           	1.635002e-03	1.558508e-04	6.699248e-05
226           	1.619422e-03	1.537587e-04	6.567485e-05
227           	1.608837e-03	1.517152e-04	6.441790e-05
228           	1.595176e-03	1.497485e-04	6.318827e-05
229           	1.584107e-03	1.477736e-04	6.199603e-05
230           	1.571805e-03	1.458829e-04	6.083086e-05
231           	1.558505e-03	1.440539e-04	5.970669e-05
232           	1.546565e-03	1.422809e-04	5.861247e-05
233           	1.532434e-03	1.405034e-04	5.756591e-05
234           	1.520913e-03	1.387833e-04	5.654255e-05
235           	1.505545e-03	1.371227e-04	5.557690e-05
236           	1.493926e-03	1.354975e-04	5.460993e-05
237           	1.492400e-03	1.339046e-04	5.379056e-05
238           	1.495705e-03	1.323122e-04	5.281386e-05
239           	1.483633e-03	1.307697e-04	5.182373e-05
240           	1.466023e-03	1.292898e-04	5.097358e-05
241           	1.445445e-03	1.277871e-04	5.023491e-05
242           	1.426029e-03	1.263178e-04	4.949671e-05
243           	1.408508e-03	1.248799e-04	4.875500e-05
244           	1.396045e-03	1.234844e-04	4.801874e-05
245           	1.385307e-03	1.220633e-04	4.732884e-05
246           	1.375205e-03	1.206845e-04	4.667637e-05
247           	1.362429e-03	1.193312e-04	4.606505e-05
248           	1.348973e-03	1.180047e-04	4.546491e-05
249           	1.334291e-03	1.166568e-04	4.487288e-05
250           	1.320977e-03	1.153545e-04	4.427562e-05
251           	1.308764e-03	1.140741e-04	4.371133e-05
252           	1.299127e-03	1.128071e-04	4.318693e-05
253           	1.289497e-03	1.115113e-04	4.271434e-05
254           	1.280393e-03	1.102565e-04	4.227493e-05
255           	1.270117e-03	1.090284e-04	4.186164e-05
256           	1.260556e-03	1.078215e-04	4.145089e-05
257           	1.250997e-03	1.065889e-04	4.104561e-05
258           	1.242062e-03	1.053982e-04	4.064951e-05
259           	1.233111e-03	1.042302e-04	4.028012e-05
260           	1.224262e-03	1.030766e-04	3.993597e-05
261           	1.215368e-03	1.018972e-04	3.960702e-05
262           	1.206430e-03	1.007576e-04	3.928282e-05
263           	1.197690e-03	9.964247e-05	3.897582e-05
264           	1.189469e-03	9.853974e-05	3.868584e-05
265           	1.181363e-03	9.741605e-05	3.840882e-05
266           	1.173034e-03	9.633241e-05	3.814197e-05
267           	1.164644e-03	9.527339e-05	3.788569e-05
268           	1.156251e-03	9.422702e-05	3.763136e-05
269           	1.148054e-03	9.315985e-05	3.737619e-05
270           	1.139682e-03	9.213119e-05	3.712571e-05
271           	1.131137e-03	9.112663e-05	3.688312e-05
272           	1.122474e-03	9.013718e-05	3.662656e-05
273           	1.113878e-03	8.912835e-05	3.636403e-05
274           	1.105152e-03	8.816084e-05	3.609785e-05
275           	1.096448e-03	8.721203e-05	3.584413e-05
276           	1.088018e-03	8.627586e-05	3.558967e-05
277           	1.079538e-03	8.532224e-05	3.533954e-05
278           	1.070775e-03	8.441055e-05	3.508881e-05
279           	1.061629e-03	8.351669e-05	3.484018e-05
280           	1.053020e-03	8.263480e-05	3.457654e-05
281           	1.044171e-03	8.173741e-05	3.431686e-05
282           	1.035173e-03	8.088244e-05	3.405288e-05
283           	1.025936e-03	8.004123e-05	3.379093e-05
284           	1.017231e-03	7.921078e-05	3.351801e-05
285           	1.008034e-03	7.836434e-05	3.324203e-05
286           	9.989652e-04	7.756110e-05	3.296638e-05
287           	9.895793e-04	7.676851e-05	3.269825e-05
288           	9.806866e-04	7.598714e-05	3.242710e-05
289           	9.710315e-04	7.519046e-05	3.216114e-05
290           	9.619522e-04	7.443600e-05	3.189465e-05
291           	9.524032e-04	7.369097e-05	3.163704e-05
292           	9.433111e-04	7.295520e-05	3.137255e-05
293           	9.335122e-04	7.220385e-05	3.111379e-05
294           	9.243217e-04	7.149268e-05	3.085439e-05
295           	9.147650e-04	7.078534e-05	3.060563e-05
296           	9.059248e-04	7.008742e-05	3.035098e-05
297           	8.964245e-04	6.937250e-05	3.010440e-05
298           	8.874672e-04	6.869658e-05	2.986571e-05
299           	8.777643e-04	6.802109e-05	2.963426e-05
300           	8.687736e-04	6.735103e-05	2.939139e-05
301           	8.590077e-04	6.666341e-05	2.915518e-05
302           	8.501739e-04	6.601247e-05	2.892069e-05
303           	8.406381e-04	6.536015e-05	2.870200e-05
304           	8.321956e-04	6.471194e-05	2.847084e-05
305           	8.228263e-04	6.404532e-05	2.824648e-05
306           	8.140193e-04	6.341359e-05	2.802653e-05
307           	8.043142e-04	6.277937e-05	2.782180e-05
308           	7.954233e-04	6.214856e-05	2.760759e-05
309           	7.859381e-04	6.149956e-05	2.740220e-05
310           	7.771342e-04	6.088447e-05	2.719396e-05
311           	7.678180e-04	6.026723e-05	2.699717e-05
312           	7.593005e-04	5.965562e-05	2.679378e-05
313           	7.500878e-04	5.902741e-05	2.659449e-05
314           	7.412173e-04	5.843555e-05	2.639596e-05
315           	7.319271e-04	5.784059e-05	2.620511e-05
316           	7.236696e-04	5.725207e-05	2.600253e-05
317           	7.148037e-04	5.664827e-05	2.580732e-05
318           	7.068269e-04	5.608149e-05	2.561577e-05
319           	6.980224e-04	5.551131e-05	2.542985e-05
320           	6.898985e-04	5.494832e-05	2.523234e-05
321           	6.806747e-04	5.437465e-05	2.503820e-05
322           	6.721787e-04	5.383704e-05	2.483824e-05
323           	6.631466e-04	5.329712e-05	2.463944e-05
324           	6.550184e-04	5.276279e-05	2.443013e-05
325           	6.463938e-04	5.221988e-05	2.422283e-05
326           	6.387291e-04	5.171085e-05	2.401172e-05
327           	6.303989e-04	5.120161e-05	2.379864e-05
328           	6.227088e-04	5.069878e-05	2.357226e-05
329           	6.145554e-04	5.019031e-05	2.334372e-05
330           	6.071104e-04	4.971671e-05	2.311731e-05
331           	5.992134e-04	4.924417e-05	2.289368e-05
332           	5.922890e-04	4.878214e-05	2.266020e-05
333           	5.845298e-04	4.831144e-05	2.242980e-05
334           	5.725323e-04	4.788580e-05	2.220764e-05
335           	5.653694e-04	4.745230e-05	2.199432e-05
336           	5.590146e-04	4.702844e-05	2.178919e-05
337           	5.552919e-04	4.657909e-05	2.158265e-05
338           	5.496192e-04	4.616875e-05	2.133889e-05
339           	5.419826e-04	4.577994e-05	2.109894e-05
340           	5.350537e-04	4.540029e-05	2.084554e-05
341           	5.282866e-04	4.500412e-05	2.060260e-05
342           	5.183911e-04	4.463914e-05	2.039970e-05
343           	5.125264e-04	4.426807e-05	2.020006e-05
344           	5.071902e-04	4.390104e-05	1.999457e-05
345           	5.039047e-04	4.351935e-05	1.979498e-05
346           	4.924263e-04	4.317752e-05	1.957082e-05
347           	4.862092e-04	4.283760e-05	1.937960e-05
348           	4.797489e-04	4.249539e-05	1.918522e-05
349           	4.752423e-04	4.214888e-05	1.901652e-05
350           	4.739448e-04	4.180870e-05	1.885496e-05
351           	4.689677e-04	4.147095e-05	1.866913e-05
352           	4.586717e-04	4.116078e-05	1.847283e-05
353           	4.544972e-04	4.083938e-05	1.826773e-05
354           	4.483316e-04	4.052752e-05	1.808746e-05
355           	4.459127e-04	4.019581e-05	1.796984e-05
356           	4.367491e-04	3.987463e-05	1.783172e-05
357           	4.304725e-04	3.955831e-05	1.769602e-05
358           	4.254791e-04	3.926501e-05	1.752144e-05
359           	4.216221e-04	3.896941e-05	1.735982e-05
360           	4.206168e-04	3.865626e-05	1.722271e-05
361           	4.106276e-04	3.835211e-05	1.709944e-05
362           	4.066060e-04	3.806497e-05	1.697785e-05
363           	4.022153e-04	3.777361e-05	1.682844e-05
364           	3.998591e-04	3.748200e-05	1.670182e-05
365           	3.914064e-04	3.719691e-05	1.658222e-05
366           	3.868570e-04	3.692389e-05	1.647035e-05
367           	3.828835e-04	3.664016e-05	1.634196e-05
368           	3.808733e-04	3.635885e-05	1.623069e-05
369           	3.727729e-04	3.608957e-05	1.613394e-05
370           	3.687481e-04	3.583099e-05	1.602900e-05
371           	3.649346e-04	3.556285e-05	1.590429e-05
372           	3.632582e-04	3.529412e-05	1.579963e-05
373           	3.560065e-04	3.503735e-05	1.570772e-05
374           	3.522354e-04	3.479205e-05	1.562265e-05
375           	3.480473e-04	3.454173e-05	1.552306e-05
376           	3.431204e-04	3.428976e-05	1.542147e-05
377           	3.404031e-04	3.403599e-05	1.534510e-05
378           	3.384587e-04	3.379046e-05	1.525827e-05
379           	3.310200e-04	3.356825e-05	1.519667e-05
380           	3.289925e-04	3.333879e-05	1.510330e-05
381           	3.243879e-04	3.310202e-05	1.498472e-05
382           	3.195394e-04	3.287238e-05	1.489567e-05
383           	3.159443e-04	3.263879e-05	1.481950e-05
384           	3.123808e-04	3.240677e-05	1.473396e-05
385           	3.084082e-04	3.218722e-05	1.465551e-05
386           	3.051293e-04	3.197953e-05	1.456495e-05
387           	3.015978e-04	3.177050e-05	1.448584e-05
388           	2.982827e-04	3.155578e-05	1.440688e-05
389           	2.944622e-04	3.134254e-05	1.433732e-05
390           	2.911389e-04	3.113721e-05	1.425637e-05
391           	2.879800e-04	3.093518e-05	1.417941e-05
392           	2.851208e-04	3.073519e-05	1.409452e-05
393           	2.817536e-04	3.053944e-05	1.402319e-05
394           	2.788529e-04	3.034786e-05	1.395107e-05
395           	2.759983e-04	3.015496e-05	1.388498e-05
396           	2.733265e-04	2.996293e-05	1.381132e-05
397           	2.702740e-04	2.977751e-05	1.375122e-05
398           	2.675261e-04	2.959855e-05	1.368677e-05
399           	2.647607e-04	2.941870e-05	1.362820e-05
400           	2.621734e-04	2.923897e-05	1.356297e-05
401           	2.591785e-04	2.906364e-05	1.350924e-05
402           	2.565768e-04	2.889328e-05	1.345257e-05
403           	2.540209e-04	2.872141e-05	1.339928e-05
404           	2.516643e-04	2.855192e-05	1.333393e-05
405           	2.490343e-04	2.838729e-05	1.327615e-05
406           	2.467702e-04	2.822781e-05	1.321660e-05
407           	2.444999e-04	2.806473e-05	1.316011e-05
408           	2.421252e-04	2.790501e-05	1.310116e-05
409           	2.396535e-04	2.775001e-05	1.304796e-05
410           	2.372230e-04	2.760034e-05	1.299160e-05
411           	2.348079e-04	2.744585e-05	1.294042e-05
412           	2.326154e-04	2.729628e-05	1.288235e-05
413           	2.302053e-04	2.715061e-05	1.283723e-05
414           	2.281383e-04	2.700991e-05	1.278638e-05
415           	2.259993e-04	2.686341e-05	1.273176e-05
416           	2.241141e-04	2.672250e-05	1.267026e-05
417           	2.221379e-04	2.658529e-05	1.262205e-05
418           	2.203972e-04	2.645259e-05	1.257295e-05
419           	2.184986e-04	2.631347e-05	1.252116e-05
420           	2.165397e-04	2.618141e-05	1.246514e-05
421           	2.145098e-04	2.605255e-05	1.242298e-05
422           	2.125000e-04	2.592754e-05	1.237871e-05
423           	2.103173e-04	2.579629e-05	1.233245e-05
424           	2.085326e-04	2.567157e-05	1.227736e-05
425           	2.067025e-04	2.555063e-05	1.223463e-05
426           	2.050078e-04	2.543268e-05	1.218840e-05
427           	2.031798e-04	2.530717e-05	1.214122e-05
428           	2.016271e-04	2.519019e-05	1.208893e-05
429           	2.001327e-04	2.507604e-05	1.204521e-05
430           	1.985354e-04	2.496498e-05	1.199716e-05
431           	1.969037e-04	2.484679e-05	1.194830e-05
432           	1.953246e-04	2.473678e-05	1.189813e-05
433           	1.937174e-04	2.462984e-05	1.186053e-05
434           	1.919277e-04	2.452559e-05	1.181911e-05
435           	1.901369e-04	2.441271e-05	1.177602e-05
436           	1.887086e-04	2.430996e-05	1.173025e-05
437           	1.874172e-04	2.420900e-05	1.169416e-05
438           	1.859140e-04	2.411078e-05	1.165488e-05
439           	1.844818e-04	2.400373e-05	1.161148e-05
440           	1.831508e-04	2.390673e-05	1.156622e-05
441           	1.820892e-04	2.381163e-05	1.153376e-05
442           	1.807114e-04	2.371871e-05	1.149675e-05
443           	1.793843e-04	2.361619e-05	1.145673e-05
444           	1.781164e-04	2.352477e-05	1.141609e-05
445           	1.768962e-04	2.343481e-05	1.138702e-05
446           	1.753518e-04	2.334650e-05	1.135282e-05
447           	1.739284e-04	2.324982e-05	1.131574e-05
448           	1.727500e-04	2.316290e-05	1.127549e-05
449           	1.718980e-04	2.307877e-05	1.124762e-05
450           	1.705707e-04	2.299532e-05	1.121330e-05
451           	1.693999e-04	2.290241e-05	1.117748e-05
452           	1.682173e-04	2.282002e-05	1.114096e-05
453           	1.674187e-04	2.273908e-05	1.111597e-05
454           	1.661964e-04	2.265852e-05	1.108368e-05
455           	1.652146e-04	2.257036e-05	1.105015e-05
456           	1.641089e-04	2.249055e-05	1.101321e-05
457           	1.633988e-04	2.241354e-05	1.099081e-05
458           	1.620991e-04	2.233646e-05	1.096290e-05
459           	1.610459e-04	2.225023e-05	1.093406e-05
460           	1.598848e-04	2.217389e-05	1.090269e-05
461           	1.594052e-04	2.209885e-05	1.088312e-05
462           	1.583622e-04	2.202410e-05	1.085739e-05
463           	1.574881e-04	2.194187e-05	1.083105e-05
464           	1.563922e-04	2.186656e-05	1.080018e-05
465           	1.558937e-04	2.179368e-05	1.078424e-05
466           	1.549097e-04	2.172039e-05	1.076262e-05
467           	1.542484e-04	2.163814e-05	1.073885e-05
468           	1.531797e-04	2.156410e-05	1.071049e-05
469           	1.527540e-04	2.149113e-05	1.069609e-05
470           	1.517287e-04	2.141817e-05	1.067657e-05
471           	1.509798e-04	2.133841e-05	1.065738e-05
472           	1.498773e-04	2.126474e-05	1.063064e-05
473           	1.495144e-04	2.119373e-05	1.061682e-05
474           	1.487846e-04	2.112242e-05	1.059829e-05
475           	1.482474e-04	2.104250e-05	1.057844e-05
476           	1.471535e-04	2.097035e-05	1.055411e-05
477           	1.467540e-04	2.089896e-05	1.054252e-05
478           	1.458775e-04	2.082786e-05	1.052551e-05
479           	1.454063e-04	2.074980e-05	1.050763e-05
480           	1.445019e-04	2.067805e-05	1.048335e-05
481           	1.442931e-04	2.060842e-05	1.047096e-05
482           	1.434136e-04	2.053841e-05	1.045306e-05
483           	1.428941e-04	2.045923e-05	1.043275e-05
484           	1.418183e-04	2.038903e-05	1.041057e-05
485           	1.415493e-04	2.031988e-05	1.039940e-05
486           	1.406732e-04	2.025056e-05	1.038194e-05
487           	1.404417e-04	2.017323e-05	1.036182e-05
488           	1.395677e-04	2.010397e-05	1.033848e-05
489           	1.394347e-04	2.003650e-05	1.032552e-05
490           	1.384540e-04	1.996882e-05	1.030736e-05
491           	1.381860e-04	1.989041e-05	1.028424e-05
492           	1.372247e-04	1.982268e-05	1.026148e-05
493           	1.372619e-04	1.975510e-05	1.024655e-05
494           	1.363230e-04	1.968798e-05	1.022590e-05
495           	1.361648e-04	1.961083e-05	1.020029e-05
496           	1.351402e-04	1.954469e-05	1.017750e-05
497           	1.350967e-04	1.947880e-05	1.016136e-05
498           	1.340002e-04	1.941344e-05	1.014010e-05
499           	1.338442e-04	1.933569e-05	1.010949e-05
500           	1.329888e-04	1.927105e-05	1.008467e-05
501           	1.330813e-04	1.920547e-05	1.006446e-05
502           	1.320865e-04	1.914046e-05	1.003977e-05
503           	1.319208e-04	1.906558e-05	1.001026e-05
504           	1.310078e-04	1.900188e-05	9.985013e-06
505           	1.310934e-04	1.893810e-05	9.964808e-06
506           	1.300753e-04	1.887466e-05	9.939036e-06
507           	1.301597e-04	1.879959e-05	9.905391e-06
508           	1.292749e-04	1.873772e-05	9.879341e-06
509           	1.294365e-04	1.867471e-05	9.855886e-06
510           	1.282637e-04	1.861243e-05	9.828574e-06
511           	1.282494e-04	1.853982e-05	9.795001e-06
512           	1.272847e-04	1.847972e-05	9.770356e-06
513           	1.274502e-04	1.841829e-05	9.746601e-06
